latitude,longitude,acq_date,acq_time,iran_date,iran_time,year,month,day,satellite,instrument,detected_sensor,confidence,frp,brightness,daynight,scan,track
29.2657,52.19637,2026-08-15,1013,2026-08-15,13:43,2026,8,15,N20,VIIRS,VIIRS,l,14.72,346.45,D,0.55,0.51
29.26829,52.19178,2026-08-15,1013,2026-08-15,13:43,2026,8,15,N20,VIIRS,VIIRS,l,13.82,348.06,D,0.55,0.51
29.26879,52.19697,2026-08-15,1013,2026-08-15,13:43,2026,8,15,N20,VIIRS,VIIRS,l,13.82,348.75,D,0.55,0.51
29.26989,52.18988,2026-08-15,1013,2026-08-15,13:43,2026,8,15,N20,VIIRS,VIIRS,n,10.63,353.46,D,0.55,0.51
29.27452,52.18841,2026-08-15,1013,2026-08-15,13:43,2026,8,15,N20,VIIRS,VIIRS,l,10.63,346.43,D,0.55,0.51
29.27541,52.19835,2026-08-15,1013,2026-08-15,13:43,2026,8,15,N20,VIIRS,VIIRS,n,28.3,353.55,D,0.56,0.51
29.28046,52.2015,2026-08-15,1013,2026-08-15,13:43,2026,8,15,N20,VIIRS,VIIRS,n,15.01,353.03,D,0.56,0.51
29.28087,52.20595,2026-08-15,1013,2026-08-15,13:43,2026,8,15,N20,VIIRS,VIIRS,h,15.01,367,D,0.56,0.51
29.28554,52.20486,2026-08-15,1013,2026-08-15,13:43,2026,8,15,N20,VIIRS,VIIRS,h,15.01,367,D,0.56,0.51
30.25371,51.44922,2026-08-15,1013,2026-08-15,13:43,2026,8,15,N20,VIIRS,VIIRS,n,14.3,350.48,D,0.51,0.5
30.25418,51.44694,2026-08-15,1013,2026-08-15,13:43,2026,8,15,N20,VIIRS,VIIRS,l,13.34,345.13,D,0.51,0.5
30.34244,51.80153,2026-08-15,1013,2026-08-15,13:43,2026,8,15,N20,VIIRS,VIIRS,n,8.19,346.84,D,0.54,0.51
29.2689,52.19875,2026-08-15,956,2026-08-15,13:26,2026,8,15,N,VIIRS,VIIRS,l,13.57,351.93,D,0.41,0.37
29.27108,52.19045,2026-08-15,956,2026-08-15,13:26,2026,8,15,N,VIIRS,VIIRS,l,14.16,354.36,D,0.41,0.37
29.27115,52.18994,2026-08-15,956,2026-08-15,13:26,2026,8,15,N,VIIRS,VIIRS,l,9.75,355.84,D,0.41,0.37
29.27172,52.19402,2026-08-15,956,2026-08-15,13:26,2026,8,15,N,VIIRS,VIIRS,l,9.75,349.64,D,0.41,0.37
29.27445,52.18966,2026-08-15,956,2026-08-15,13:26,2026,8,15,N,VIIRS,VIIRS,l,14.16,367,D,0.41,0.37
29.27557,52.19772,2026-08-15,956,2026-08-15,13:26,2026,8,15,N,VIIRS,VIIRS,l,12.2,350.64,D,0.41,0.37
29.27894,52.19695,2026-08-15,956,2026-08-15,13:26,2026,8,15,N,VIIRS,VIIRS,l,7.95,349.65,D,0.41,0.37
29.27949,52.2009,2026-08-15,956,2026-08-15,13:26,2026,8,15,N,VIIRS,VIIRS,l,7.95,352.36,D,0.41,0.37
29.28003,52.20481,2026-08-15,956,2026-08-15,13:26,2026,8,15,N,VIIRS,VIIRS,l,19.11,345.58,D,0.41,0.37
29.28287,52.20018,2026-08-15,956,2026-08-15,13:26,2026,8,15,N,VIIRS,VIIRS,n,7.95,345.18,D,0.41,0.37
29.28342,52.20411,2026-08-15,956,2026-08-15,13:26,2026,8,15,N,VIIRS,VIIRS,l,19.11,354.55,D,0.41,0.37
29.28396,52.208,2026-08-15,956,2026-08-15,13:26,2026,8,15,N,VIIRS,VIIRS,n,19.11,351.66,D,0.41,0.37
29.2868,52.20341,2026-08-15,956,2026-08-15,13:26,2026,8,15,N,VIIRS,VIIRS,n,5.99,349.23,D,0.41,0.37
29.28734,52.20731,2026-08-15,956,2026-08-15,13:26,2026,8,15,N,VIIRS,VIIRS,n,5.99,342.02,D,0.41,0.37
30.34125,51.79958,2026-08-15,956,2026-08-15,13:26,2026,8,15,N,VIIRS,VIIRS,l,2.73,343.35,D,0.4,0.37
30.34184,51.80383,2026-08-15,956,2026-08-15,13:26,2026,8,15,N,VIIRS,VIIRS,n,5.72,348.51,D,0.4,0.37
30.34464,51.79907,2026-08-15,956,2026-08-15,13:26,2026,8,15,N,VIIRS,VIIRS,n,6.25,349.11,D,0.4,0.37
29.25714,53.12068,2026-08-15,835,2026-08-15,12:05,2026,8,15,N20,VIIRS,VIIRS,l,17.93,345.04,D,0.79,0.78
