latitude,longitude,acq_date,acq_time,iran_date,iran_time,year,month,day,satellite,instrument,detected_sensor,confidence,frp,brightness,daynight,scan,track
29.2583,53.11861,2026-08-29,1643,2026-08-29,20:13,2026,8,29,Terra,MODIS,MODIS,69,8.51,309.38,N,1.07,1.03
29.25694,53.12156,2026-08-29,1034,2026-08-29,14:04,2026,8,29,N,VIIRS,VIIRS,n,5.52,354.3,D,0.48,0.65
29.25812,53.12222,2026-08-29,1034,2026-08-29,14:04,2026,8,29,N,VIIRS,VIIRS,n,7.79,350.4,D,0.48,0.65
29.38406,51.79596,2026-08-29,1034,2026-08-29,14:04,2026,8,29,N,VIIRS,VIIRS,l,6.71,345.65,D,0.4,0.6
29.38729,51.79504,2026-08-29,1034,2026-08-29,14:04,2026,8,29,N,VIIRS,VIIRS,n,6.77,346.16,D,0.4,0.6
29.38758,51.79918,2026-08-29,1034,2026-08-29,14:04,2026,8,29,N,VIIRS,VIIRS,l,7.62,342.22,D,0.4,0.6
29.40125,51.79968,2026-08-29,1034,2026-08-29,14:04,2026,8,29,N,VIIRS,VIIRS,l,7.23,346.68,D,0.4,0.6
29.25385,53.12282,2026-08-29,911,2026-08-29,12:41,2026,8,29,N20,VIIRS,VIIRS,l,12.16,348.96,D,0.44,0.46
29.25769,53.12134,2026-08-29,852,2026-08-29,12:22,2026,8,29,N,VIIRS,VIIRS,n,12.63,353.25,D,0.51,0.66
29.75216,52.40816,2026-08-29,546,2026-08-29,09:16,2026,8,29,Terra,MODIS,MODIS,53,17.54,324.37,D,1.38,1.16
29.76863,52.72602,2026-08-29,546,2026-08-29,09:16,2026,8,29,Terra,MODIS,MODIS,53,13.76,322.08,D,1.44,1.19
30.06255,52.80361,2026-08-29,546,2026-08-29,09:16,2026,8,29,Terra,MODIS,MODIS,53,10.15,318.03,D,1.44,1.19
