latitude,longitude,acq_date,acq_time,iran_date,iran_time,year,month,day,satellite,instrument,detected_sensor,confidence,frp,brightness,daynight,scan,track
30.10632,51.51046,2026-08-21,1117,2026-08-21,14:47,2026,8,21,Aqua,MODIS,MODIS,44,21.44,325.35,D,2.84,1.61
29.19105,52.84301,2026-08-21,1002,2026-08-21,13:32,2026,8,21,N20,VIIRS,VIIRS,n,8.07,349.02,D,0.39,0.44
29.22182,52.15705,2026-08-21,1002,2026-08-21,13:32,2026,8,21,N20,VIIRS,VIIRS,n,11.15,349.45,D,0.54,0.42
29.22259,52.15499,2026-08-21,1002,2026-08-21,13:32,2026,8,21,N20,VIIRS,VIIRS,n,17.58,349.93,D,0.54,0.42
29.36657,52.6116,2026-08-21,1002,2026-08-21,13:32,2026,8,21,N20,VIIRS,VIIRS,l,7.2,343.8,D,0.38,0.44
29.59596,52.70332,2026-08-21,1002,2026-08-21,13:32,2026,8,21,N20,VIIRS,VIIRS,l,6.37,347,D,0.39,0.44
29.59686,52.70237,2026-08-21,1002,2026-08-21,13:32,2026,8,21,N20,VIIRS,VIIRS,n,6.07,349.29,D,0.39,0.44
29.59996,52.70256,2026-08-21,1002,2026-08-21,13:32,2026,8,21,N20,VIIRS,VIIRS,l,6.37,349.72,D,0.39,0.44
29.60086,52.70161,2026-08-21,1002,2026-08-21,13:32,2026,8,21,N20,VIIRS,VIIRS,l,6.07,347.19,D,0.39,0.44
29.89062,53.83928,2026-08-21,1002,2026-08-21,13:32,2026,8,21,N20,VIIRS,VIIRS,h,22.51,367,D,0.46,0.47
29.89256,53.84004,2026-08-21,941,2026-08-21,13:11,2026,8,21,N,VIIRS,VIIRS,h,36.94,367,D,0.39,0.36
28.68384,52.09331,2026-08-21,905,2026-08-21,12:35,2026,8,21,N21,VIIRS,VIIRS,l,9.77,344.71,D,0.53,0.5
29.19236,52.84079,2026-08-21,905,2026-08-21,12:35,2026,8,21,N21,VIIRS,VIIRS,l,14.16,345.72,D,0.47,0.47
29.25585,53.12029,2026-08-21,905,2026-08-21,12:35,2026,8,21,N21,VIIRS,VIIRS,l,11.4,346.09,D,0.45,0.47
29.25612,53.12118,2026-08-21,905,2026-08-21,12:35,2026,8,21,N21,VIIRS,VIIRS,n,17.25,355.23,D,0.45,0.47
29.59805,52.70544,2026-08-21,905,2026-08-21,12:35,2026,8,21,N21,VIIRS,VIIRS,l,10.61,348.2,D,0.47,0.47
29.89216,53.84186,2026-08-21,905,2026-08-21,12:35,2026,8,21,N21,VIIRS,VIIRS,n,20.83,354.94,D,0.4,0.44
30.23659,52.11298,2026-08-21,905,2026-08-21,12:35,2026,8,21,N21,VIIRS,VIIRS,n,6.56,339.49,D,0.49,0.48
29.18817,52.84515,2026-08-21,529,2026-08-21,08:59,2026,8,21,Terra,MODIS,MODIS,49,6.83,321.01,D,1,1
