latitude,longitude,acq_date,acq_time,iran_date,iran_time,year,month,day,satellite,instrument,detected_sensor,confidence,frp,brightness,daynight,scan,track
28.37387,52.95096,2026-09-21,1656,2026-09-21,20:26,2026,9,21,Terra,MODIS,MODIS,72,6.71,312.35,N,1.07,1.03
28.49131,53.56024,2026-09-21,1115,2026-09-21,14:45,2026,9,21,Aqua,MODIS,MODIS,32,29.66,322.51,D,2.8,1.6
28.68135,54.34304,2026-09-21,1021,2026-09-21,13:51,2026,9,21,N20,VIIRS,VIIRS,l,1.92,337.82,D,0.46,0.64
28.68206,52.09356,2026-09-21,1021,2026-09-21,13:51,2026,9,21,N20,VIIRS,VIIRS,n,3.92,343.72,D,0.34,0.56
28.68237,52.0971,2026-09-21,1021,2026-09-21,13:51,2026,9,21,N20,VIIRS,VIIRS,l,4.23,340.57,D,0.34,0.56
29.18976,52.8439,2026-09-21,1021,2026-09-21,13:51,2026,9,21,N20,VIIRS,VIIRS,n,8.78,343.56,D,0.38,0.59
29.1918,52.84302,2026-09-21,1021,2026-09-21,13:51,2026,9,21,N20,VIIRS,VIIRS,n,8.86,345.18,D,0.38,0.59
29.25671,53.12508,2026-09-21,1021,2026-09-21,13:51,2026,9,21,N20,VIIRS,VIIRS,n,8.16,355.17,D,0.4,0.6
29.36659,52.61328,2026-09-21,1021,2026-09-21,13:51,2026,9,21,N20,VIIRS,VIIRS,l,4.01,335.51,D,0.37,0.58
29.39329,51.78599,2026-09-21,1021,2026-09-21,13:51,2026,9,21,N20,VIIRS,VIIRS,l,3.07,339.27,D,0.33,0.55
29.39358,51.78939,2026-09-21,1021,2026-09-21,13:51,2026,9,21,N20,VIIRS,VIIRS,l,2.82,341.47,D,0.33,0.55
29.53139,52.56535,2026-09-21,1021,2026-09-21,13:51,2026,9,21,N20,VIIRS,VIIRS,l,12.48,356.5,D,0.37,0.58
29.53169,52.56919,2026-09-21,1021,2026-09-21,13:51,2026,9,21,N20,VIIRS,VIIRS,n,9.51,353.32,D,0.37,0.58
29.19147,52.84218,2026-09-21,1002,2026-09-21,13:32,2026,9,21,N,VIIRS,VIIRS,n,14.81,350.9,D,0.48,0.4
29.53481,52.56629,2026-09-21,1002,2026-09-21,13:32,2026,9,21,N,VIIRS,VIIRS,n,24.91,349.74,D,0.47,0.4
28.68755,54.34232,2026-09-21,926,2026-09-21,12:56,2026,9,21,N21,VIIRS,VIIRS,n,17.11,347.27,D,0.39,0.36
29.53488,52.5665,2026-09-21,926,2026-09-21,12:56,2026,9,21,N21,VIIRS,VIIRS,h,112.99,367,D,0.42,0.38
28.87269,53.7705,2026-09-21,839,2026-09-21,12:09,2026,9,21,N20,VIIRS,VIIRS,n,2.45,338.84,D,0.6,0.71
28.87448,53.77129,2026-09-21,839,2026-09-21,12:09,2026,9,21,N20,VIIRS,VIIRS,l,1.58,336.25,D,0.6,0.71
29.25182,53.12204,2026-09-21,839,2026-09-21,12:09,2026,9,21,N20,VIIRS,VIIRS,l,7.03,339,D,0.64,0.72
29.25835,53.12358,2026-09-21,839,2026-09-21,12:09,2026,9,21,N20,VIIRS,VIIRS,n,6.85,351.08,D,0.64,0.72
30.11206,51.52002,2026-09-21,559,2026-09-21,09:29,2026,9,21,Terra,MODIS,MODIS,29,13.87,316.66,D,2.15,1.42
