latitude,longitude,acq_date,acq_time,iran_date,iran_time,year,month,day,satellite,instrument,detected_sensor,confidence,frp,brightness,daynight,scan,track
28.68426,52.09225,2026-08-19,2303,2026-08-20,02:33,2026,8,20,N20,VIIRS,VIIRS,n,3.15,321.29,N,0.4,0.6
29.12329,52.64718,2026-08-19,2303,2026-08-20,02:33,2026,8,20,N20,VIIRS,VIIRS,n,0.68,303.55,N,0.42,0.61
29.19121,52.8415,2026-08-19,2303,2026-08-20,02:33,2026,8,20,N20,VIIRS,VIIRS,n,2.39,311.05,N,0.43,0.62
29.25513,53.12413,2026-08-19,2303,2026-08-20,02:33,2026,8,20,N20,VIIRS,VIIRS,n,3.44,318.46,N,0.44,0.63
29.25623,53.11976,2026-08-19,2303,2026-08-20,02:33,2026,8,20,N20,VIIRS,VIIRS,n,3.88,330.43,N,0.44,0.63
29.37056,52.61214,2026-08-19,2303,2026-08-20,02:33,2026,8,20,N20,VIIRS,VIIRS,n,2.67,320.09,N,0.41,0.61
29.62652,52.44715,2026-08-19,2303,2026-08-20,02:33,2026,8,20,N20,VIIRS,VIIRS,n,1.34,314.88,N,0.4,0.6
27.48584,52.96987,2026-08-19,2246,2026-08-20,02:16,2026,8,20,N,VIIRS,VIIRS,n,1.98,311.37,N,0.39,0.44
28.68296,52.09459,2026-08-19,2246,2026-08-20,02:16,2026,8,20,N,VIIRS,VIIRS,n,3.96,324.71,N,0.51,0.41
28.70017,53.54474,2026-08-19,2244,2026-08-20,02:14,2026,8,20,N,VIIRS,VIIRS,n,1.9,313.66,N,0.4,0.44
29.11698,53.21022,2026-08-19,2244,2026-08-20,02:14,2026,8,20,N,VIIRS,VIIRS,n,0.74,301.83,N,0.57,0.43
29.19374,52.84376,2026-08-19,2244,2026-08-20,02:14,2026,8,20,N,VIIRS,VIIRS,n,4.38,328.25,N,0.55,0.42
29.2567,53.1214,2026-08-19,2244,2026-08-20,02:14,2026,8,20,N,VIIRS,VIIRS,n,6.22,338.38,N,0.56,0.43
29.36889,52.61059,2026-08-19,2244,2026-08-20,02:14,2026,8,20,N,VIIRS,VIIRS,n,3.22,325.55,N,0.53,0.42
29.62341,52.44571,2026-08-19,2244,2026-08-20,02:14,2026,8,20,N,VIIRS,VIIRS,n,1.14,310.88,N,0.51,0.41
29.7244,51.75234,2026-08-19,2244,2026-08-20,02:14,2026,8,20,N,VIIRS,VIIRS,n,2.98,308.45,N,0.48,0.4
29.73498,52.65363,2026-08-19,2244,2026-08-20,02:14,2026,8,20,N,VIIRS,VIIRS,n,1.04,306.01,N,0.52,0.42
27.47901,52.97161,2026-08-19,2210,2026-08-20,01:40,2026,8,20,N21,VIIRS,VIIRS,n,1.24,312.8,N,0.39,0.36
27.48618,52.96899,2026-08-19,2210,2026-08-20,01:40,2026,8,20,N21,VIIRS,VIIRS,n,2.05,314.24,N,0.39,0.36
28.47219,53.01898,2026-08-19,2210,2026-08-20,01:40,2026,8,20,N21,VIIRS,VIIRS,n,2.95,325.19,N,0.39,0.36
28.68279,52.09243,2026-08-19,2210,2026-08-20,01:40,2026,8,20,N21,VIIRS,VIIRS,n,3.86,331.55,N,0.4,0.37
29.12237,52.64582,2026-08-19,2208,2026-08-20,01:38,2026,8,20,N21,VIIRS,VIIRS,n,0.9,302.85,N,0.39,0.37
29.19171,52.84632,2026-08-19,2208,2026-08-20,01:38,2026,8,20,N21,VIIRS,VIIRS,n,3.07,315.61,N,0.39,0.36
29.19229,52.8423,2026-08-19,2208,2026-08-20,01:38,2026,8,20,N21,VIIRS,VIIRS,n,3.07,334.78,N,0.39,0.36
29.25661,53.12011,2026-08-19,2208,2026-08-20,01:38,2026,8,20,N21,VIIRS,VIIRS,n,3.76,329.95,N,0.39,0.36
29.36883,52.61113,2026-08-19,2208,2026-08-20,01:38,2026,8,20,N21,VIIRS,VIIRS,n,4.48,333.35,N,0.4,0.37
