latitude,longitude,acq_date,acq_time,iran_date,iran_time,year,month,day,satellite,instrument,detected_sensor,confidence,frp,brightness,daynight,scan,track
27.74733,54.01487,2026-08-16,1121,2026-08-16,14:51,2026,8,16,Aqua,MODIS,MODIS,55,26.12,333.37,D,1.62,1.25
28.95459,54.05646,2026-08-16,956,2026-08-16,13:26,2026,8,16,N20,VIIRS,VIIRS,n,26.11,353.48,D,0.56,0.43
28.33769,52.45973,2026-08-16,900,2026-08-16,12:30,2026,8,16,N21,VIIRS,VIIRS,n,22.01,344.98,D,0.64,0.54
28.68027,52.09195,2026-08-16,900,2026-08-16,12:30,2026,8,16,N21,VIIRS,VIIRS,l,8.31,346.78,D,0.33,0.55
