latitude,longitude,acq_date,acq_time,iran_date,iran_time,year,month,day,satellite,instrument,detected_sensor,confidence,frp,brightness,daynight,scan,track
29.91038,51.20226,2026-09-11,1700,2026-09-11,20:30,2026,9,11,Terra,MODIS,MODIS,78,6.52,311.17,N,1.01,1.01
29.91917,51.20064,2026-09-11,1700,2026-09-11,20:30,2026,9,11,Terra,MODIS,MODIS,84,7.68,312.93,N,1.01,1.01
29.92046,51.21048,2026-09-11,1700,2026-09-11,20:30,2026,9,11,Terra,MODIS,MODIS,100,53.13,347.05,N,1.01,1.01
29.92176,51.22035,2026-09-11,1700,2026-09-11,20:30,2026,9,11,Terra,MODIS,MODIS,97,12.17,318.76,N,1.01,1.01
29.92311,51.23062,2026-09-11,1700,2026-09-11,20:30,2026,9,11,Terra,MODIS,MODIS,100,21.77,327.59,N,1.02,1.01
29.92449,51.2411,2026-09-11,1700,2026-09-11,20:30,2026,9,11,Terra,MODIS,MODIS,83,8,313.51,N,1.02,1.01
29.92923,51.20874,2026-09-11,1700,2026-09-11,20:30,2026,9,11,Terra,MODIS,MODIS,100,19.17,324.96,N,1.01,1.01
29.93056,51.21883,2026-09-11,1700,2026-09-11,20:30,2026,9,11,Terra,MODIS,MODIS,100,40.83,340.41,N,1.01,1.01
29.93193,51.22923,2026-09-11,1700,2026-09-11,20:30,2026,9,11,Terra,MODIS,MODIS,100,33.78,335.94,N,1.02,1.01
30.07812,51.57605,2026-09-11,1700,2026-09-11,20:30,2026,9,11,Terra,MODIS,MODIS,43,5.21,309.68,N,1.03,1.02
29.20399,52.68007,2026-09-11,1130,2026-09-11,15:00,2026,9,11,Aqua,MODIS,MODIS,21,15.41,323.95,D,1.73,1.29
29.6799,52.54834,2026-09-11,1130,2026-09-11,15:00,2026,9,11,Aqua,MODIS,MODIS,34,16,324.39,D,1.72,1.29
29.90387,51.24816,2026-09-11,1130,2026-09-11,15:00,2026,9,11,Aqua,MODIS,MODIS,85,73.01,338.7,D,2.09,1.41
29.9117,51.22413,2026-09-11,1130,2026-09-11,15:00,2026,9,11,Aqua,MODIS,MODIS,97,171.33,355.47,D,2.09,1.41
29.91466,51.21783,2026-09-11,1130,2026-09-11,15:00,2026,9,11,Aqua,MODIS,MODIS,95,143.22,351.56,D,2.09,1.41
29.9157,51.24406,2026-09-11,1130,2026-09-11,15:00,2026,9,11,Aqua,MODIS,MODIS,96,153.93,353.08,D,2.09,1.41
29.91902,51.2388,2026-09-11,1130,2026-09-11,15:00,2026,9,11,Aqua,MODIS,MODIS,95,142.37,351.38,D,2.09,1.41
29.92388,51.22173,2026-09-11,1130,2026-09-11,15:00,2026,9,11,Aqua,MODIS,MODIS,93,124.91,348.32,D,2.09,1.41
29.1932,52.84397,2026-09-11,1009,2026-09-11,13:39,2026,9,11,N20,VIIRS,VIIRS,l,12.75,348.67,D,0.49,0.48
29.90466,51.20907,2026-09-11,1009,2026-09-11,13:39,2026,9,11,N20,VIIRS,VIIRS,l,13.84,367,D,0.4,0.44
29.90507,51.21281,2026-09-11,1009,2026-09-11,13:39,2026,9,11,N20,VIIRS,VIIRS,l,11.92,353.86,D,0.4,0.44
29.90869,51.20809,2026-09-11,1009,2026-09-11,13:39,2026,9,11,N20,VIIRS,VIIRS,l,13.84,367,D,0.4,0.44
