latitude,longitude,acq_date,acq_time,iran_date,iran_time,year,month,day,satellite,instrument,detected_sensor,confidence,frp,brightness,daynight,scan,track
29.20969,52.14362,2026-08-22,2329,2026-08-23,02:59,2026,8,23,N,VIIRS,VIIRS,n,2.87,308.62,N,0.71,0.75
29.21091,52.13935,2026-08-22,2329,2026-08-23,02:59,2026,8,23,N,VIIRS,VIIRS,n,2.87,309.02,N,0.71,0.75
29.22424,52.14444,2026-08-22,2329,2026-08-23,02:59,2026,8,23,N,VIIRS,VIIRS,n,5.47,317.4,N,0.71,0.75
29.22572,52.13923,2026-08-22,2329,2026-08-23,02:59,2026,8,23,N,VIIRS,VIIRS,n,5.13,308.61,N,0.71,0.75
28.68302,52.09089,2026-08-22,2252,2026-08-23,02:22,2026,8,23,N21,VIIRS,VIIRS,n,7.77,314.27,N,0.64,0.54
29.11724,53.21076,2026-08-22,2252,2026-08-23,02:22,2026,8,23,N21,VIIRS,VIIRS,n,0.53,303.65,N,0.36,0.58
29.25389,53.12349,2026-08-22,2252,2026-08-23,02:22,2026,8,23,N21,VIIRS,VIIRS,n,2,306.11,N,0.36,0.57
29.25472,53.11998,2026-08-22,2252,2026-08-23,02:22,2026,8,23,N21,VIIRS,VIIRS,n,3.11,331.48,N,0.36,0.57
29.36893,52.61113,2026-08-22,2252,2026-08-23,02:22,2026,8,23,N21,VIIRS,VIIRS,n,3.1,319.67,N,0.33,0.55
29.62303,52.44699,2026-08-22,2252,2026-08-23,02:22,2026,8,23,N21,VIIRS,VIIRS,n,1.46,312.05,N,0.32,0.54
29.88532,52.74601,2026-08-22,2252,2026-08-23,02:22,2026,8,23,N21,VIIRS,VIIRS,n,1.03,301.63,N,0.33,0.55
28.68133,52.09423,2026-08-22,2208,2026-08-23,01:38,2026,8,23,N20,VIIRS,VIIRS,n,1.77,318.39,N,0.45,0.39
29.1941,52.8396,2026-08-22,2208,2026-08-23,01:38,2026,8,23,N20,VIIRS,VIIRS,n,4.96,329.47,N,0.43,0.38
29.20757,52.14711,2026-08-22,2208,2026-08-23,01:38,2026,8,23,N20,VIIRS,VIIRS,n,3.78,312.99,N,0.45,0.39
29.20823,52.14207,2026-08-22,2208,2026-08-23,01:38,2026,8,23,N20,VIIRS,VIIRS,n,3.78,333.62,N,0.45,0.39
29.2118,52.1427,2026-08-22,2208,2026-08-23,01:38,2026,8,23,N20,VIIRS,VIIRS,n,8.82,346.54,N,0.45,0.39
29.22254,52.14422,2026-08-22,2208,2026-08-23,01:38,2026,8,23,N20,VIIRS,VIIRS,n,3.83,309.82,N,0.45,0.39
29.2232,52.1392,2026-08-22,2208,2026-08-23,01:38,2026,8,23,N20,VIIRS,VIIRS,n,3.53,316.93,N,0.45,0.39
29.22612,52.14474,2026-08-22,2208,2026-08-23,01:38,2026,8,23,N20,VIIRS,VIIRS,n,6.06,333.63,N,0.45,0.39
29.22678,52.13976,2026-08-22,2208,2026-08-23,01:38,2026,8,23,N20,VIIRS,VIIRS,n,3.98,316.39,N,0.45,0.39
29.25679,53.11969,2026-08-22,2208,2026-08-23,01:38,2026,8,23,N20,VIIRS,VIIRS,n,3.71,331.12,N,0.42,0.38
29.36914,52.61004,2026-08-22,2208,2026-08-23,01:38,2026,8,23,N20,VIIRS,VIIRS,n,3.48,329.61,N,0.44,0.38
29.48934,51.43243,2026-08-22,2208,2026-08-23,01:38,2026,8,23,N20,VIIRS,VIIRS,n,4.49,310.5,N,0.49,0.4
29.62556,52.44728,2026-08-22,2208,2026-08-23,01:38,2026,8,23,N20,VIIRS,VIIRS,n,2.62,312.14,N,0.45,0.39
29.64055,52.74018,2026-08-22,2208,2026-08-23,01:38,2026,8,23,N20,VIIRS,VIIRS,n,1.07,312.68,N,0.44,0.38
29.73523,52.65285,2026-08-22,2208,2026-08-23,01:38,2026,8,23,N20,VIIRS,VIIRS,n,1.91,307.69,N,0.44,0.38
29.88475,52.7466,2026-08-22,2208,2026-08-23,01:38,2026,8,23,N20,VIIRS,VIIRS,n,1.57,308.88,N,0.44,0.38
28.6841,52.09237,2026-08-22,2148,2026-08-23,01:18,2026,8,23,N,VIIRS,VIIRS,n,3.06,333.84,N,0.34,0.56
28.68455,52.09308,2026-08-22,2148,2026-08-23,01:18,2026,8,23,N,VIIRS,VIIRS,n,3.05,327.24,N,0.34,0.56
29.12236,52.64614,2026-08-22,2148,2026-08-23,01:18,2026,8,23,N,VIIRS,VIIRS,n,0.58,305.46,N,0.32,0.54
29.20778,52.14552,2026-08-22,2148,2026-08-23,01:18,2026,8,23,N,VIIRS,VIIRS,n,2.53,320.83,N,0.34,0.56
29.20823,52.14035,2026-08-22,2148,2026-08-23,01:18,2026,8,23,N,VIIRS,VIIRS,n,2.53,322.09,N,0.34,0.56
29.2084,52.14489,2026-08-22,2148,2026-08-23,01:18,2026,8,23,N,VIIRS,VIIRS,n,2.43,328.68,N,0.34,0.56
29.20883,52.13949,2026-08-22,2148,2026-08-23,01:18,2026,8,23,N,VIIRS,VIIRS,n,2.43,318.92,N,0.34,0.56
29.21347,52.14068,2026-08-22,2148,2026-08-23,01:18,2026,8,23,N,VIIRS,VIIRS,n,2.53,315.44,N,0.34,0.56
29.21406,52.13983,2026-08-22,2148,2026-08-23,01:18,2026,8,23,N,VIIRS,VIIRS,n,2.43,308.87,N,0.34,0.56
29.22418,52.14477,2026-08-22,2148,2026-08-23,01:18,2026,8,23,N,VIIRS,VIIRS,n,3.56,309.13,N,0.34,0.56
