latitude,longitude,acq_date,acq_time,iran_date,iran_time,year,month,day,satellite,instrument,detected_sensor,confidence,frp,brightness,daynight,scan,track
28.68364,52.09442,2026-09-21,2246,2026-09-22,02:16,2026,9,22,N20,VIIRS,VIIRS,n,2.68,328.24,N,0.42,0.45
29.12273,52.64627,2026-09-21,2246,2026-09-22,02:16,2026,9,22,N20,VIIRS,VIIRS,n,0.9,301.08,N,0.44,0.46
29.19145,52.84044,2026-09-21,2246,2026-09-22,02:16,2026,9,22,N20,VIIRS,VIIRS,n,4.38,339.64,N,0.45,0.47
29.19569,52.84137,2026-09-21,2246,2026-09-22,02:16,2026,9,22,N20,VIIRS,VIIRS,n,4.38,306.6,N,0.45,0.47
29.19992,52.84232,2026-09-21,2246,2026-09-22,02:16,2026,9,22,N20,VIIRS,VIIRS,n,0.82,300.88,N,0.45,0.47
29.20476,54.48256,2026-09-21,2246,2026-09-22,02:16,2026,9,22,N20,VIIRS,VIIRS,n,1.17,300.85,N,0.56,0.51
29.25489,53.12185,2026-09-21,2246,2026-09-22,02:16,2026,9,22,N20,VIIRS,VIIRS,n,4.56,334.23,N,0.46,0.47
29.25915,53.12302,2026-09-21,2246,2026-09-22,02:16,2026,9,22,N20,VIIRS,VIIRS,n,1.26,316.22,N,0.46,0.47
29.36806,52.61039,2026-09-21,2246,2026-09-22,02:16,2026,9,22,N20,VIIRS,VIIRS,n,2.11,323.96,N,0.43,0.46
29.62283,52.44541,2026-09-21,2246,2026-09-22,02:16,2026,9,22,N20,VIIRS,VIIRS,n,0.82,304.77,N,0.42,0.45
29.6269,52.44649,2026-09-21,2246,2026-09-22,02:16,2026,9,22,N20,VIIRS,VIIRS,n,0.82,302.11,N,0.42,0.45
29.73679,52.65435,2026-09-21,2246,2026-09-22,02:16,2026,9,22,N20,VIIRS,VIIRS,n,1.65,303.51,N,0.43,0.46
29.8813,52.87043,2026-09-21,2246,2026-09-22,02:16,2026,9,22,N20,VIIRS,VIIRS,n,0.99,310.91,N,0.44,0.46
27.48664,52.96783,2026-09-21,2150,2026-09-22,01:20,2026,9,22,N21,VIIRS,VIIRS,n,1.99,310.11,N,0.56,0.43
28.38397,52.93602,2026-09-21,2150,2026-09-22,01:20,2026,9,22,N21,VIIRS,VIIRS,n,2.4,324.22,N,0.39,0.44
28.68144,52.09035,2026-09-21,2150,2026-09-22,01:20,2026,9,22,N21,VIIRS,VIIRS,n,2.52,317.29,N,0.43,0.46
29.11993,52.64679,2026-09-21,2150,2026-09-22,01:20,2026,9,22,N21,VIIRS,VIIRS,n,0.78,300.6,N,0.41,0.45
29.19369,52.84193,2026-09-21,2150,2026-09-22,01:20,2026,9,22,N21,VIIRS,VIIRS,n,3.9,345.71,N,0.4,0.44
29.19416,52.8377,2026-09-21,2150,2026-09-22,01:20,2026,9,22,N21,VIIRS,VIIRS,n,2.25,309.7,N,0.4,0.44
29.19773,52.84269,2026-09-21,2150,2026-09-22,01:20,2026,9,22,N21,VIIRS,VIIRS,n,3.9,304.88,N,0.4,0.44
29.25426,53.11996,2026-09-21,2150,2026-09-22,01:20,2026,9,22,N21,VIIRS,VIIRS,n,5.24,315.82,N,0.39,0.44
29.25626,53.12003,2026-09-21,2150,2026-09-22,01:20,2026,9,22,N21,VIIRS,VIIRS,n,6.8,337.48,N,0.39,0.44
29.25825,53.12055,2026-09-21,2150,2026-09-22,01:20,2026,9,22,N21,VIIRS,VIIRS,n,5.24,340.05,N,0.39,0.44
29.36771,52.61241,2026-09-21,2150,2026-09-22,01:20,2026,9,22,N21,VIIRS,VIIRS,n,2.76,326.48,N,0.41,0.45
29.62147,52.44851,2026-09-21,2150,2026-09-22,01:20,2026,9,22,N21,VIIRS,VIIRS,n,1.06,307.73,N,0.43,0.46
29.62564,52.44912,2026-09-21,2150,2026-09-22,01:20,2026,9,22,N21,VIIRS,VIIRS,n,0.49,301.47,N,0.43,0.46
29.73586,52.65316,2026-09-21,2150,2026-09-22,01:20,2026,9,22,N21,VIIRS,VIIRS,n,1.38,304.22,N,0.42,0.45
29.74338,53.2457,2026-09-21,2150,2026-09-22,01:20,2026,9,22,N21,VIIRS,VIIRS,n,0.67,298.85,N,0.39,0.44
29.8059,52.72565,2026-09-21,2150,2026-09-22,01:20,2026,9,22,N21,VIIRS,VIIRS,n,1.6,300.28,N,0.41,0.45
29.80637,52.72141,2026-09-21,2150,2026-09-22,01:20,2026,9,22,N21,VIIRS,VIIRS,n,1.6,316.86,N,0.41,0.45
29.88066,52.87169,2026-09-21,2150,2026-09-22,01:20,2026,9,22,N21,VIIRS,VIIRS,n,1.75,301.44,N,0.41,0.45
