latitude,longitude,acq_date,acq_time,iran_date,iran_time,year,month,day,satellite,instrument,detected_sensor,confidence,frp,brightness,daynight,scan,track
28.68534,52.09392,2026-08-11,1034,2026-08-11,14:04,2026,8,11,N21,VIIRS,VIIRS,n,10.79,342.26,D,0.66,0.73
27.78186,54.00911,2026-08-11,947,2026-08-11,13:17,2026,8,11,N20,VIIRS,VIIRS,n,22.44,348.09,D,0.45,0.39
28.68057,52.09188,2026-08-11,854,2026-08-11,12:24,2026,8,11,N21,VIIRS,VIIRS,l,7.36,340.51,D,0.41,0.61
28.74874,54.41637,2026-08-11,854,2026-08-11,12:24,2026,8,11,N21,VIIRS,VIIRS,l,35.33,346.09,D,0.59,0.53
29.25727,53.12178,2026-08-11,854,2026-08-11,12:24,2026,8,11,N21,VIIRS,VIIRS,h,14.87,367,D,0.35,0.56
29.36938,52.61158,2026-08-11,854,2026-08-11,12:24,2026,8,11,N21,VIIRS,VIIRS,l,5.24,339.8,D,0.37,0.58
30.2732,51.47965,2026-08-11,854,2026-08-11,12:24,2026,8,11,N21,VIIRS,VIIRS,n,7.52,339.62,D,0.41,0.61
29.19416,52.84409,2026-08-11,531,2026-08-11,09:01,2026,8,11,Terra,MODIS,MODIS,66,9.61,323.93,D,1.01,1
