latitude,longitude,acq_date,acq_time,year,month,day,satellite,instrument,detected_sensor,confidence,frp,brightness,daynight,scan,track
28.08748,54.06058,2026-08-12,909,2026,8,12,N,VIIRS,VIIRS,l,6.4,337.09,D,0.5,0.49
29.25413,53.12104,2026-08-12,837,2026,8,12,N21,VIIRS,VIIRS,n,27.54,348.42,D,0.66,0.73
30.10948,53.04953,2026-08-12,837,2026,8,12,N21,VIIRS,VIIRS,l,6.14,332.72,D,0.63,0.72
30.10955,53.04964,2026-08-12,837,2026,8,12,N21,VIIRS,VIIRS,l,3.83,332.58,D,0.63,0.72
29.47268,52.54506,2026-08-12,610,2026,8,12,Terra,MODIS,MODIS,47,57.72,325.5,D,3.45,1.75
27.48812,52.97056,2026-08-12,2316,2026,8,12,N,VIIRS,VIIRS,n,2.17,307.14,N,0.57,0.69
27.48897,52.97131,2026-08-12,2316,2026,8,12,N,VIIRS,VIIRS,n,4.99,305.93,N,0.57,0.69
27.47931,52.97128,2026-08-12,2240,2026,8,12,N21,VIIRS,VIIRS,n,4.73,311.98,N,0.49,0.49
27.48468,52.96763,2026-08-12,2240,2026,8,12,N21,VIIRS,VIIRS,n,4.73,333.99,N,0.49,0.48
28.68243,52.09175,2026-08-12,2240,2026,8,12,N21,VIIRS,VIIRS,n,6.13,324.62,N,0.41,0.45
29.36878,52.61275,2026-08-12,2240,2026,8,12,N21,VIIRS,VIIRS,n,0.63,298.61,N,0.43,0.46
29.62218,52.44892,2026-08-12,2240,2026,8,12,N21,VIIRS,VIIRS,n,2.68,312.98,N,0.42,0.45
30.14714,51.38188,2026-08-12,2240,2026,8,12,N21,VIIRS,VIIRS,n,2.2,307.18,N,0.54,0.42
27.47944,52.96958,2026-08-12,2155,2026,8,12,N20,VIIRS,VIIRS,n,4.36,311.67,N,0.56,0.43
27.48802,52.96508,2026-08-12,2155,2026,8,12,N20,VIIRS,VIIRS,n,5.01,318.25,N,0.56,0.43
29.62501,52.44887,2026-08-12,2153,2026,8,12,N20,VIIRS,VIIRS,n,2.61,312.99,N,0.43,0.46
28.68104,52.09447,2026-08-12,1015,2026,8,12,N21,VIIRS,VIIRS,n,9.72,354.93,D,0.33,0.55
29.25495,53.12251,2026-08-12,1015,2026,8,12,N21,VIIRS,VIIRS,n,6.87,353.7,D,0.39,0.59
