latitude,longitude,acq_date,acq_time,iran_date,iran_time,year,month,day,satellite,instrument,detected_sensor,confidence,frp,brightness,daynight,scan,track
27.70069,52.64557,2026-09-02,1021,2026-09-02,13:51,2026,9,2,N21,VIIRS,VIIRS,l,26.14,355.66,D,0.45,0.63
27.70644,52.64505,2026-09-02,1021,2026-09-02,13:51,2026,9,2,N21,VIIRS,VIIRS,h,17.67,367,D,0.45,0.63
28.68004,52.09351,2026-09-02,1021,2026-09-02,13:51,2026,9,2,N21,VIIRS,VIIRS,n,7.72,346.68,D,0.42,0.61
28.68395,52.09362,2026-09-02,1021,2026-09-02,13:51,2026,9,2,N21,VIIRS,VIIRS,n,9.15,353.46,D,0.42,0.61
29.65044,53.00068,2026-09-02,1021,2026-09-02,13:51,2026,9,2,N21,VIIRS,VIIRS,n,10.92,348.13,D,0.49,0.65
29.25943,53.12119,2026-09-02,841,2026-09-02,12:11,2026,9,2,N21,VIIRS,VIIRS,n,11.58,351.84,D,0.53,0.67
29.95259,52.85341,2026-09-02,841,2026-09-02,12:11,2026,9,2,N21,VIIRS,VIIRS,h,13.98,367,D,0.53,0.67
27.25093,53.20592,2026-09-02,839,2026-09-02,12:09,2026,9,2,N21,VIIRS,VIIRS,n,5.46,347.65,D,0.58,0.7
28.68231,52.09142,2026-09-01,2305,2026-09-02,02:35,2026,9,2,N21,VIIRS,VIIRS,n,2.29,314.52,N,0.49,0.65
29.19226,52.84035,2026-09-01,2305,2026-09-02,02:35,2026,9,2,N21,VIIRS,VIIRS,n,2.11,305.16,N,0.53,0.67
29.25545,53.12152,2026-09-01,2305,2026-09-02,02:35,2026,9,2,N21,VIIRS,VIIRS,n,6.23,340.52,N,0.55,0.68
29.25558,53.12445,2026-09-01,2305,2026-09-02,02:35,2026,9,2,N21,VIIRS,VIIRS,n,5.4,335.06,N,0.55,0.68
29.25698,53.11907,2026-09-01,2305,2026-09-02,02:35,2026,9,2,N21,VIIRS,VIIRS,n,5.4,317.2,N,0.55,0.68
29.36823,52.61128,2026-09-01,2305,2026-09-02,02:35,2026,9,2,N21,VIIRS,VIIRS,n,2.95,311.48,N,0.51,0.66
29.50053,51.40522,2026-09-01,2305,2026-09-02,02:35,2026,9,2,N21,VIIRS,VIIRS,n,0.7,307.98,N,0.43,0.62
29.50597,51.40713,2026-09-01,2305,2026-09-02,02:35,2026,9,2,N21,VIIRS,VIIRS,n,0.67,302.91,N,0.43,0.62
29.62447,52.4493,2026-09-01,2303,2026-09-02,02:33,2026,9,2,N21,VIIRS,VIIRS,n,1.26,303.64,N,0.49,0.65
29.88316,52.74836,2026-09-01,2303,2026-09-02,02:33,2026,9,2,N21,VIIRS,VIIRS,n,3.42,308.05,N,0.5,0.66
29.88589,52.74965,2026-09-01,2303,2026-09-02,02:33,2026,9,2,N21,VIIRS,VIIRS,n,1.78,303.71,N,0.5,0.66
27.47912,52.97265,2026-09-01,2220,2026-09-02,01:50,2026,9,2,N20,VIIRS,VIIRS,n,1.56,313.17,N,0.39,0.36
27.48705,52.9662,2026-09-01,2220,2026-09-02,01:50,2026,9,2,N20,VIIRS,VIIRS,n,2.25,315.43,N,0.39,0.36
28.68383,52.09517,2026-09-01,2220,2026-09-02,01:50,2026,9,2,N20,VIIRS,VIIRS,n,1.8,313.35,N,0.38,0.36
28.68444,52.09128,2026-09-01,2220,2026-09-02,01:50,2026,9,2,N20,VIIRS,VIIRS,n,1.71,314.08,N,0.38,0.36
29.12071,52.64645,2026-09-01,2220,2026-09-02,01:50,2026,9,2,N20,VIIRS,VIIRS,n,0.59,303.15,N,0.38,0.36
29.19148,52.84262,2026-09-01,2220,2026-09-02,01:50,2026,9,2,N20,VIIRS,VIIRS,n,6.57,339.07,N,0.39,0.36
29.19477,52.8433,2026-09-01,2220,2026-09-02,01:50,2026,9,2,N20,VIIRS,VIIRS,n,1.73,308.64,N,0.39,0.36
29.2023,54.48195,2026-09-01,2220,2026-09-02,01:50,2026,9,2,N20,VIIRS,VIIRS,n,1.05,306.91,N,0.41,0.37
29.25488,53.12304,2026-09-01,2220,2026-09-02,01:50,2026,9,2,N20,VIIRS,VIIRS,n,1.79,304.98,N,0.39,0.36
29.25817,53.12374,2026-09-01,2220,2026-09-02,01:50,2026,9,2,N20,VIIRS,VIIRS,n,1.12,323.99,N,0.39,0.36
29.25882,53.1198,2026-09-01,2220,2026-09-02,01:50,2026,9,2,N20,VIIRS,VIIRS,n,1.12,304.64,N,0.39,0.36
29.368,52.61157,2026-09-01,2220,2026-09-02,01:50,2026,9,2,N20,VIIRS,VIIRS,n,3.79,333.48,N,0.38,0.36
29.50352,51.40807,2026-09-01,2220,2026-09-02,01:50,2026,9,2,N20,VIIRS,VIIRS,n,0.55,308.93,N,0.39,0.36
29.62292,52.44714,2026-09-01,2220,2026-09-02,01:50,2026,9,2,N20,VIIRS,VIIRS,n,1.23,310.43,N,0.38,0.36
29.73658,52.65197,2026-09-01,2220,2026-09-02,01:50,2026,9,2,N20,VIIRS,VIIRS,n,0.52,305.93,N,0.38,0.36
29.88466,52.7473,2026-09-01,2220,2026-09-02,01:50,2026,9,2,N20,VIIRS,VIIRS,n,2.05,312.48,N,0.38,0.36
27.47961,52.9721,2026-09-01,2201,2026-09-02,01:31,2026,9,2,N,VIIRS,VIIRS,n,3.52,310.43,N,0.57,0.43
27.48829,52.9675,2026-09-01,2201,2026-09-02,01:31,2026,9,2,N,VIIRS,VIIRS,n,3.12,311.56,N,0.57,0.43
28.52256,53.41876,2026-09-01,2201,2026-09-02,01:31,2026,9,2,N,VIIRS,VIIRS,n,2.85,308.08,N,0.56,0.43
28.68195,52.0941,2026-09-01,2201,2026-09-02,01:31,2026,9,2,N,VIIRS,VIIRS,n,1.42,315.46,N,0.44,0.46
28.68243,52.08963,2026-09-01,2201,2026-09-02,01:31,2026,9,2,N,VIIRS,VIIRS,n,1.42,308.5,N,0.44,0.46
29.19366,52.84524,2026-09-01,2201,2026-09-02,01:31,2026,9,2,N,VIIRS,VIIRS,n,3.2,309.1,N,0.41,0.45
29.19414,52.84088,2026-09-01,2201,2026-09-02,01:31,2026,9,2,N,VIIRS,VIIRS,n,3.2,335.52,N,0.41,0.45
29.25764,53.12212,2026-09-01,2201,2026-09-02,01:31,2026,9,2,N,VIIRS,VIIRS,n,3.81,339.18,N,0.39,0.44
29.25809,53.11805,2026-09-01,2201,2026-09-02,01:31,2026,9,2,N,VIIRS,VIIRS,n,3.81,302.29,N,0.39,0.44
29.36845,52.61354,2026-09-01,2201,2026-09-02,01:31,2026,9,2,N,VIIRS,VIIRS,n,1.92,308.18,N,0.42,0.45
29.36892,52.60925,2026-09-01,2201,2026-09-02,01:31,2026,9,2,N,VIIRS,VIIRS,n,2.18,313.66,N,0.42,0.45
29.50559,51.40436,2026-09-01,2201,2026-09-02,01:31,2026,9,2,N,VIIRS,VIIRS,n,1.23,310.77,N,0.49,0.49
29.62585,52.44941,2026-09-01,2201,2026-09-02,01:31,2026,9,2,N,VIIRS,VIIRS,n,0.68,307.77,N,0.43,0.46
29.73543,52.65295,2026-09-01,2201,2026-09-02,01:31,2026,9,2,N,VIIRS,VIIRS,n,1.64,305.88,N,0.42,0.45
29.88363,52.74616,2026-09-01,2201,2026-09-02,01:31,2026,9,2,N,VIIRS,VIIRS,n,1.31,302.26,N,0.42,0.45
29.88781,52.74669,2026-09-01,2201,2026-09-02,01:31,2026,9,2,N,VIIRS,VIIRS,n,1.31,305.11,N,0.42,0.45
27.47924,52.96841,2026-09-01,2125,2026-09-02,00:55,2026,9,2,N21,VIIRS,VIIRS,n,3.96,312.62,N,0.46,0.63
27.48541,52.96429,2026-09-01,2125,2026-09-02,00:55,2026,9,2,N21,VIIRS,VIIRS,n,3.89,313.66,N,0.46,0.64
27.5277,53.28444,2026-09-01,2125,2026-09-02,00:55,2026,9,2,N21,VIIRS,VIIRS,n,2,307.85,N,0.44,0.62
28.68001,52.09376,2026-09-01,2125,2026-09-02,00:55,2026,9,2,N21,VIIRS,VIIRS,n,2.86,305.95,N,0.54,0.68
28.68031,52.08851,2026-09-01,2125,2026-09-02,00:55,2026,9,2,N21,VIIRS,VIIRS,n,3.15,310.98,N,0.54,0.68
